hash Default $G^1_4$ $G^1_5$ AF 
0.418 0.417914466515 0.381380884646 0.374956716053 3.33224754807e-05
0.42 0.419914057264 0.384771229022 0.378502974717 3.50559061782e-05
0.422 0.421913648013 0.388170195259 0.382060439821 3.69243639747e-05
0.424 0.423913238762 0.391577593849 0.38562887747 3.89422454605e-05
0.426 0.425912829511 0.394993233225 0.389208050344 4.11259182887e-05
0.428 0.427912420259 0.398416919884 0.392797717796 4.34940540807e-05
0.43 0.429912011008 0.401848458326 0.396397635889 4.60680288453e-05
0.432 0.431911601757 0.405287651116 0.40000755737 4.88724069774e-05
0.434 0.433911192506 0.408734298858 0.403627231748 5.19355294334e-05
0.436 0.435910783255 0.412188200242 0.40725640526 5.52902324581e-05
0.438 0.437910374004 0.415649152084 0.410894821018 5.89747311307e-05
0.44 0.439909964753 0.419116949263 0.414542218891 6.30337123172e-05
0.442 0.441909555502 0.422591384842 0.418198335666 6.7519695787e-05
0.444 0.44390914625 0.426072250017 0.42186290503 7.24947413493e-05
0.446 0.445908736999 0.429559334186 0.425535657611 7.8032606344e-05
0.448 0.447908327748 0.433052424893 0.429216320996 8.4221494583e-05
0.45 0.449907918497 0.436551307945 0.43290461983 9.11675894546e-05
0.452 0.451907509246 0.44005576739 0.436600275803 9.89996377866e-05
0.454 0.453907099995 0.443565585528 0.440303007707 0.000107874957192
0.456 0.455906690744 0.44708054299 0.444012531543 0.00011798739559
0.458 0.457906281493 0.450600418656 0.447728560414 0.000129578002755
0.46 0.459905872241 0.454124989835 0.45145080479 0.000142949523904
0.462 0.46190546299 0.457654032098 0.455178972307 0.000158486363164
0.464 0.463905053739 0.461187319501 0.458912768048 0.000176682509954
0.466 0.465904644488 0.464724624503 0.462651894473 0.000198181275313
0.468 0.467904235237 0.468265717982 0.46639605147 0.000223832910185
0.47 0.469903825986 0.471810369335 0.470144936454 0.000254779928119
0.472 0.471903416735 0.475358346454 0.473898244428 0.000292586467995
0.474 0.473903007484 0.478909415761 0.477655667974 0.000339439720935
0.476 0.475902598232 0.48246334227 0.481416897398 0.000398473221006
0.478 0.477902188981 0.486019889607 0.485181620744 0.000474304126094
0.48 0.47990177973 0.489578820003 0.488949523857 0.000573963024774
0.482 0.481901370479 0.4931398944 0.492720290482 0.00070858157153
0.484 0.483900961228 0.496702872421 0.496493602279 0.00089663512403
0.486 0.485900551977 0.50026751243 0.500269138917 0.00117062066596
0.488 0.487900142726 0.503833571591 0.504046578171 0.00159205180236
0.49 0.489899733475 0.507400805852 0.507825595947 0.00228908930039
0.492 0.491899324223 0.51096897003 0.511605866369 0.00356614733096
0.494 0.493898914972 0.514537817808 0.515387061851 0.00629848185375
0.496 0.495898505721 0.518107101818 0.519168853208 0.013910275952
0.498 0.49789809647 0.521676573681 0.522950909696 0.0506705235258
0.5 0.499897687219 0.525245983976 0.52673289907 0.631185706246
0.502 0.501897277968 0.528815082355 0.530514487722 0.896043453416
0.504 0.503896868717 0.532383617551 0.53429534072 0.904071599428
0.506 0.505896459466 0.535951337471 0.53807512192 0.906203489337
0.508 0.507896050214 0.539517989125 0.541853493996 0.907390246276
0.51 0.509895640963 0.54308331878 0.545630118601 0.908295631509
0.512 0.511895231712 0.546647071993 0.549404656399 0.909086978644
0.514 0.513894822461 0.550208993585 0.553176767186 0.909822140131
0.516 0.51589441321 0.553768827778 0.556946109958 0.910525403597
0.518 0.517894003959 0.557326318159 0.560712343 0.911208416621
0.52 0.519893594708 0.560881207766 0.564475123981 0.911877338445
0.522 0.521893185457 0.564433239178 0.56823411011 0.912535681515
0.524 0.523892776205 0.567982154472 0.571988958116 0.913185573899
0.526 0.525892366954 0.571527695349 0.575739324427 0.913828371453
0.528 0.527891957703 0.575069603162 0.579484865252 0.914464976027
0.53 0.529891548452 0.578607618922 0.583225236648 0.915096010356
0.532 0.531891139201 0.582141483454 0.586960094694 0.915721919323
0.534 0.53389072995 0.585670937354 0.590689095504 0.916343030559
0.536 0.535890320699 0.589195721048 0.594411895382 0.91695959228
0.538 0.537889911448 0.592715574925 0.598128150916 0.917571797601
0.54 0.539889502196 0.596230239329 0.601837519102 0.918179800616
0.542 0.541889092945 0.599739454573 0.605539657375 0.918783726996
0.544 0.543888683694 0.603242961106 0.609234223808 0.919383681634
0.546 0.545888274443 0.606740499492 0.612920877172 0.919979753712
0.548 0.547887865192 0.610231810465 0.616599277053 0.92057202064
0.55 0.549887455941 0.613716635005 0.620269083926 0.921160550469
0.552 0.55188704669 0.617194714459 0.623929959368 0.92174540419
0.554 0.553886637439 0.620665790434 0.627581566026 0.922326637078
0.556 0.555886228187 0.624129605026 0.631223567824 0.922904299827
0.558 0.557885818936 0.627585900848 0.63485563011 0.923478439465
0.56 0.559885409685 0.631034420981 0.638477419624 0.924049099927
0.562 0.561885000434 0.634474909153 0.642088604758 0.924616322656
0.564 0.563884591183 0.637907109746 0.645688855566 0.925180146905
0.566 0.565884181932 0.641330767863 0.649277843964 0.925740610217
0.568 0.567883772681 0.644745629414 0.652855243754 0.926297748551
0.57 0.56988336343 0.648151441159 0.656420730844 0.926851596562
0.572 0.571882954178 0.651547950748 0.659973983239 0.927402187675
0.574 0.573882544927 0.654934906846 0.663514681275 0.92794955435
0.576 0.575882135676 0.658312059149 0.667042507642 0.928493728149
0.578 0.577881726425 0.661679158429 0.670557147552 0.929034739748
0.58 0.579881317174 0.665035956707 0.674058288881 0.929572619154
0.582 0.581880907923 0.66838220718 0.67754562218 0.930107395688
0.584 0.583880498672 0.67171766434 0.681018840861 0.930639098011
0.586 0.585880089421 0.675042084094 0.684477641322 0.931167754266
0.588 0.587879680169 0.678355223747 0.687921723037 0.931693392027
0.59 0.589879270918 0.681656842117 0.691350788683 0.932216038413
0.592 0.591878861667 0.6849466996 0.694764544236 0.932735720064
0.594 0.593878452416 0.688224558235 0.698162699107 0.933252463234
0.596 0.595878043165 0.691490181678 0.701544966164 0.933766293561
0.598 0.597877633914 0.694743335446 0.704911062008 0.934277236566
0.6 0.599877224663 0.697983786855 0.708260706964 0.934785317206
0.602 0.601876815412 0.701211305148 0.711593625242 0.935290560182
0.604 0.603876406161 0.704425661453 0.714909544957 0.93579298978
0.606 0.605875996909 0.707626629019 0.718208198373 0.936292629987
0.608 0.607875587658 0.710813983154 0.721489321904 0.936789504454
0.61 0.609875178407 0.713987501345 0.724752656288 0.937283636557
0.612 0.611874769156 0.717146963316 0.727997946629 0.937775049327
0.614 0.613874359905 0.720292151042 0.731224942499 0.938263765528
0.616 0.615873950654 0.723422848948 0.734433398162 0.938749807612
0.618 0.617873541403 0.726538843834 0.73762307252 0.939233197786
0.62 0.619873132152 0.729639924974 0.740793729214 0.939713957978
0.622 0.6218727229 0.732725884268 0.743945136908 0.940192109806
0.624 0.623872313649 0.735796516222 0.747077069165 0.940667674743
0.626 0.625871904398 0.738851618016 0.75018930465 0.94114067389
0.628 0.627871495147 0.741890989602 0.753281627191 0.941611128183
0.63 0.629871085896 0.744914433757 0.756353825897 0.942079058238
0.632 0.631870676645 0.747921756135 0.759405695196 0.942544484589
0.634 0.633870267394 0.750912765334 0.762437034947 0.943007427323
0.636 0.635869858143 0.753887272971 0.76544765054 0.943467906434
0.638 0.637869448891 0.756845093715 0.768437352928 0.9439259417
0.64 0.63986903964 0.759786045422 0.771405958781 0.944381552661
0.642 0.641868630389 0.762709949043 0.774353290392 0.944834758562
0.644 0.643868221138 0.765616628885 0.777279175996 0.945285578506
0.646 0.645867811887 0.768505912532 0.780183449672 0.94573403144
0.648 0.647867402636 0.771377630907 0.783065951399 0.946180135971
0.65 0.649866993385 0.774231618391 0.785926527197 0.946623910699
0.652 0.651866584134 0.777067712836 0.788765029155 0.947065373748
0.654 0.653866174882 0.77988575565 0.791581315485 0.947504543315
0.656 0.655865765631 0.782685591842 0.794375250574 0.947941437273
0.658 0.65786535638 0.785467070028 0.79714670505 0.948376073324
0.66 0.659864947129 0.78823004257 0.799895555786 0.948808468961
0.662 0.661864537878 0.790974365543 0.80262168602 0.949238641577
0.664 0.663864128627 0.79369989886 0.805324985317 0.949666608237
0.666 0.665863719376 0.796406506256 0.808005349626 0.950092385994
0.668 0.667863310125 0.799094055389 0.810662681372 0.950515991578
0.67 0.669862900873 0.801762417867 0.813296889442 0.950937441682
0.672 0.671862491622 0.804411469231 0.815907889105 0.951356752659
0.674 0.673862082371 0.807041089137 0.818495602269 0.951773940885
0.676 0.67586167312 0.809651161277 0.821059957306 0.952189022445
0.678 0.677861263869 0.812241573457 0.823600889123 0.952602013256
0.68 0.679860854618 0.814812217651 0.826118339206 0.953012929156
0.682 0.681860445367 0.817362990028 0.828612255554 0.953421785703
0.684 0.683860036116 0.819893790977 0.831082592764 0.953828598428
0.686 0.685859626864 0.822404525176 0.833529311981 0.954233382651
0.688 0.687859217613 0.824895101609 0.835952380898 0.954636153481
0.69 0.689858808362 0.827365433564 0.838351773804 0.95503692599
0.692 0.691858399111 0.829815438664 0.840727471385 0.955435714944
0.694 0.69385798986 0.832245039013 0.84307946098 0.955832535123
0.696 0.695857580609 0.834654161032 0.845407736342 0.956227401071
0.698 0.697857171358 0.83704273564 0.847712297718 0.956620327217
0.7 0.699856762107 0.839410698195 0.849993151781 0.957011327798
0.702 0.701856352855 0.841757988568 0.852250311614 0.95740041701
0.704 0.703855943604 0.844084551053 0.854483796617 0.957787608825
0.706 0.705855534353 0.846390334558 0.856693632573 0.958172917061
